FileName,Vertices,MaxFlow,TimeInSecsPrePush,TimeInSecsScale,TimeInSecsFordalt,TimeInSecsFordFulkerson
TestFiles2/Bipartite-EdgesProb-0.1.txt,202,1903,16.664,101.677,144.822,93.038
TestFiles2/Bipartite-EdgesProb-0.2.txt,202,2672,3.870,26.730,71.303,72.373
TestFiles2/Bipartite-EdgesProb-0.3.txt,202,2367,21.804,23.561,49.731,49.978
TestFiles2/Bipartite-EdgesProb-0.4.txt,202,2651,4.686,22.793,63.114,49.264
TestFiles2/Bipartite-EdgesProb-0.5.txt,202,2382,41.759,34.915,81.923,50.361
TestFiles2/Bipartite-EdgesProb-0.6.txt,202,2473,5.217,36.531,75.521,46.500
TestFiles2/Bipartite-EdgesProb-0.7.txt,202,2515,51.781,46.801,92.832,41.090
TestFiles2/Bipartite-EdgesProb-0.8.txt,202,2516,8.571,58.488,91.051,36.130
TestFiles2/Bipartite-EdgesProb-0.9.txt,202,2420,62.229,66.519,107.477,35.840
TestFiles2/Bipartite-EdgesProb-1.txt,202,2353,9.976,78.337,104.623,32.416
TestFiles2/Bipartite-minmax-1-100.txt,202,5025,3.984,21.791,71.098,44.617
TestFiles2/Bipartite-minmax-1-50.txt,202,2429,3.767,20.614,77.087,41.968
TestFiles2/Bipartite-minmax-100-1000.txt,202,53541,27.200,33.730,62.333,42.822
TestFiles2/Bipartite-minmax-100-2000.txt,202,103964,3.815,23.088,66.604,43.084
TestFiles2/Bipartite-minmax-1000-5000.txt,202,295232,3.854,24.955,59.741,37.241
TestFiles2/Bipartite-minmax-1000-8000.txt,202,418222,3.834,24.443,59.705,37.509
TestFiles2/Bipartite-minmax-50-100.txt,202,7464,3.763,24.577,56.379,31.741
TestFiles2/Bipartite-minmax-50-150.txt,202,9620,3.639,26.414,54.862,33.347
TestFiles2/Bipartite-minmax-5000-10000.txt,202,731998,43.144,36.820,49.240,32.953
TestFiles2/Bipartite-minmax-5000-20000.txt,202,1270634,3.872,25.553,56.624,39.323
TestFiles2/Bipartite-Nodes-10-10.txt,22,192,0.132,0.197,0.208,0.148
TestFiles2/Bipartite-Nodes-100-100.txt,202,2218,3.996,21.257,62.379,41.759
TestFiles2/Bipartite-Nodes-120-100.txt,222,2615,71.530,32.856,81.672,57.893
TestFiles2/Bipartite-Nodes-150-100.txt,252,2237,254.148,45.440,77.503,72.504
TestFiles2/Bipartite-Nodes-150-150.txt,302,3677,9.834,94.581,278.790,166.966
TestFiles2/Bipartite-Nodes-150-50.txt,202,1181,147.369,16.336,25.773,24.555
TestFiles2/Bipartite-Nodes-150-80.txt,232,1790,207.048,31.253,54.507,44.037
TestFiles2/Bipartite-Nodes-20-10.txt,32,210,0.184,0.225,0.269,0.211
TestFiles2/Bipartite-Nodes-50-100.txt,152,1505,1.708,6.678,24.231,18.912
TestFiles2/Bipartite-Nodes-70-70.txt,142,1638,2.774,7.127,25.100,15.276
TestFiles2/FD-cap-1-100.txt,102,1533,8.950,6.704,9.270,6.096
TestFiles2/FD-cap-1-50.txt,102,728,1.847,5.022,8.115,6.608
TestFiles2/FD-cap-100-1000.txt,102,16655,1.754,5.416,7.309,6.549
TestFiles2/FD-cap-100-2000.txt,102,29295,1.858,4.618,8.129,6.730
TestFiles2/FD-cap-1000-5000.txt,102,80364,6.916,10.962,7.575,6.042
TestFiles2/FD-cap-1000-8000.txt,102,125781,8.165,9.821,7.649,6.722
TestFiles2/FD-cap-50-100.txt,102,2178,6.813,6.623,7.590,5.991
TestFiles2/FD-cap-50-150.txt,102,2697,1.765,6.111,7.366,5.958
TestFiles2/FD-cap-5000-10000.txt,102,224916,2.021,6.630,7.230,5.932
TestFiles2/FD-cap-5000-20000.txt,102,410381,2.429,5.805,9.251,7.629
TestFiles2/FD-Edges-10.txt,102,213,0.589,0.961,2.165,1.700
TestFiles2/FD-Edges-20.txt,102,405,1.138,2.307,5.522,3.907
TestFiles2/FD-Edges-30.txt,102,765,6.686,6.839,8.594,6.760
TestFiles2/FD-Edges-40.txt,102,889,11.866,12.653,10.695,10.192
TestFiles2/FD-Edges-50.txt,102,1134,3.717,8.100,13.943,11.120
TestFiles2/FD-Edges-60.txt,102,1487,4.102,26.047,18.210,13.923
TestFiles2/FD-Edges-70.txt,102,1398,3.942,14.540,22.269,13.753
TestFiles2/FD-Edges-80.txt,102,1895,4.605,26.756,24.305,14.167
TestFiles2/FD-Edges-90.txt,102,2133,5.490,29.547,26.075,13.181
TestFiles2/FD-Edges-95.txt,102,2464,5.821,65.453,28.834,14.562
TestFiles2/FD-Nodes-100.txt,102,761,5.677,6.307,7.440,6.626
TestFiles2/FD-Nodes-120.txt,122,690,2.065,5.757,9.650,7.574
TestFiles2/FD-Nodes-150.txt,152,694,12.882,10.790,13.237,10.850
TestFiles2/FD-Nodes-160.txt,162,704,19.647,11.902,14.965,13.269
TestFiles2/FD-Nodes-40.txt,42,829,0.713,1.723,2.457,1.486
TestFiles2/FD-Nodes-50.txt,52,763,0.869,2.108,2.950,2.119
TestFiles2/FD-Nodes-60.txt,62,696,1.034,3.088,4.059,3.191
TestFiles2/FD-Nodes-70.txt,72,688,1.170,2.640,5.218,4.458
TestFiles2/FD-Nodes-80.txt,82,793,4.691,6.487,6.784,4.456
TestFiles2/FD-Nodes-90.txt,92,650,1.785,4.465,7.717,6.287
TestFiles2/Mesh-cap-100.txt,202,602,1.007,1.974,5.664,10.323
TestFiles2/Mesh-cap-1000.txt,202,6823,1.172,2.825,6.668,12.431
TestFiles2/Mesh-cap-10000.txt,202,51541,2.883,2.534,4.900,10.290
TestFiles2/Mesh-cap-50.txt,202,322,2.054,2.519,5.765,10.656
TestFiles2/Mesh-cap-500.txt,202,3572,1.472,2.511,6.437,12.016
TestFiles2/Mesh-capconst-100.txt,202,2000,0.713,1.016,1.253,3.265
TestFiles2/Mesh-capconst-1000.txt,202,20000,0.699,1.027,1.352,2.448
TestFiles2/Mesh-capconst-10000.txt,202,200000,0.465,1.038,1.217,3.155
TestFiles2/Mesh-capconst-50.txt,202,1000,0.788,1.406,1.384,2.213
TestFiles2/Mesh-capconst-500.txt,202,10000,0.630,0.921,1.194,2.147
TestFiles2/Mesh-rowcol-10-10.txt,102,500,0.188,0.365,0.486,0.662
TestFiles2/Mesh-rowcol-20-10.txt,202,1000,0.446,1.015,1.236,2.140
TestFiles2/Mesh-rowcol-40-20.txt,802,2000,1.727,6.798,9.893,51.081
TestFiles2/Mesh-rowcol-5-4.txt,22,250,0.055,0.106,0.096,0.097
TestFiles2/Mesh-rowcol-50-30.txt,1502,2500,3.138,15.036,21.070,204.808
TestFiles2/Mesh-rowcol-50-50.txt,2502,2500,5.671,41.829,44.092,636.728
TestFiles2/Mesh-rowcol-60-50.txt,3002,3000,7.007,65.137,86.712,1033.106
TestFiles2/Mesh-rowcol-70-50.txt,3502,3500,8.362,88.517,110.465,1529.215
TestFiles2/Mesh-rowcol-80-50.txt,4002,4000,10.171,107.955,139.148,2201.141
TestFiles2/Mesh-rowcol-80-80.txt,6402,4000,16.032,213.282,248.974,6357.463
TestFiles2/Random-cap-1-100.txt,101,1439,7.084,6.610,4.877,6.006
TestFiles2/Random-cap-1-50.txt,101,531,2.583,3.973,5.493,6.398
TestFiles2/Random-cap-100-1000.txt,101,16542,3.535,5.652,5.788,7.242
TestFiles2/Random-cap-100-2000.txt,101,26331,17.011,7.804,5.142,6.938
TestFiles2/Random-cap-1000-5000.txt,101,84235,1.899,4.351,5.801,5.783
TestFiles2/Random-cap-1000-8000.txt,101,107116,1.830,4.601,5.032,5.856
TestFiles2/Random-cap-50-100.txt,101,1994,1.892,5.193,5.725,5.300
TestFiles2/Random-cap-50-150.txt,101,2954,9.796,8.092,7.968,5.779
TestFiles2/Random-cap-5000-10000.txt,101,207151,8.503,8.180,5.210,5.974
TestFiles2/Random-cap-5000-20000.txt,101,406858,8.023,8.301,5.687,6.308
TestFiles2/Random-Edges-10.txt,101,204,2.424,1.406,1.395,1.700
TestFiles2/Random-Edges-100.txt,101,2261,7.014,81.059,25.963,12.791
TestFiles2/Random-Edges-20.txt,101,427,1.146,2.670,3.126,3.283
TestFiles2/Random-Edges-30.txt,101,714,1.723,4.485,5.227,5.627
TestFiles2/Random-Edges-40.txt,101,1116,2.360,9.640,10.221,9.563
TestFiles2/Random-Edges-50.txt,101,1169,2.973,12.586,11.781,11.772
TestFiles2/Random-Edges-60.txt,101,1640,12.955,30.587,15.416,13.571
TestFiles2/Random-Edges-70.txt,101,1787,22.124,47.102,17.191,12.802
TestFiles2/Random-Edges-80.txt,101,1860,18.863,70.190,22.016,13.560
TestFiles2/Random-Edges-90.txt,101,2193,5.402,95.293,25.955,13.752
TestFiles2/Random-Nodes-100.txt,101,630,2.380,3.381,4.560,5.308
TestFiles2/Random-Nodes-120.txt,121,925,2.653,8.615,10.021,10.205
TestFiles2/Random-Nodes-140.txt,141,1006,3.931,10.331,13.299,15.961
TestFiles2/Random-Nodes-160.txt,161,1484,4.740,18.159,20.656,21.983
TestFiles2/Random-Nodes-180.txt,181,1060,58.921,43.477,22.838,24.362
TestFiles2/Random-Nodes-20.txt,21,101,0.082,0.123,0.128,0.139
TestFiles2/Random-Nodes-200.txt,201,1329,7.484,39.763,35.639,36.146
TestFiles2/Random-Nodes-40.txt,41,311,0.549,0.556,0.628,0.572
TestFiles2/Random-Nodes-60.txt,61,404,0.595,1.128,1.478,1.433
TestFiles2/Random-Nodes-80.txt,81,500,5.143,3.156,3.279,3.018